Variable,Value
"Auxiliar Clerck, Court_Evora, Municipality_Evora, Bench_Criminal Instruction",20.0
"Auxiliar Clerck, Court_Evora, Municipality_Evora, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Evora, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Evora, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Evora, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Montemor-o-Novo, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Montemor-o-Novo, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Redondo, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Reguengos de Monsaraz, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Evora, Municipality_Vila Vicosa, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Albufeira, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Albufeira, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Local Civil",82.0
"Auxiliar Clerck, Court_Faro, Municipality_Faro, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Lagoa, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Lagos, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Loule, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Loule, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Loule, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Olhao, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Olhao, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Portimao, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Silves, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Silves, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Tavira, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Faro, Municipality_Vila Real de Santo Antonio, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Almeida, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Celorico da Beira, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Figueira de Castelo Rodrigo, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Gouveia, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Guarda, Bench_Central Civil and Criminal",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Guarda, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Guarda, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Guarda, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Pinhel, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Seia, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Guarda, Municipality_Trancoso, Bench_Generic",29.0
"Auxiliar Clerck, Court_Guarda, Municipality_Vila Nova de Foz Coa, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Alcobaca, Bench_Commerce",75.0
"Auxiliar Clerck, Court_Leiria, Municipality_Alcobaca, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Alcobaca, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Alcobaca, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Alcobaca, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Ansiao, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Caldas da Rainha, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Caldas da Rainha, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Caldas da Rainha, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Caldas da Rainha, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Figueiro dos Vinhos, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Leiria, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Marinha Grande, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Nazare, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Peniche, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Pombal, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Pombal, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Pombal, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Porto de Mos, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Leiria, Municipality_Porto de Mos, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Central Civil",205.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Almada, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Barreiro, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Barreiro, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Barreiro, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Barreiro, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Barreiro, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Lisboa, Bench_Small Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Moita, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Montijo, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Montijo, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Seixal, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Seixal, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Seixal, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa, Municipality_Seixal, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Alenquer, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Alenquer, Bench_Local Criminal",83.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Loures, Bench_Small Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Lourinha, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Torres Vedras, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Torres Vedras, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Torres Vedras, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Torres Vedras, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Vila Franca de Xira, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Vila Franca de Xira, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Vila Franca de Xira, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Vila Franca de Xira, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Norte, Municipality_Vila Franca de Xira, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Amadora, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Amadora, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Amadora, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Amadora, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Cascais, Bench_Small Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Mafra, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Mafra, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Mafra, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Oeiras, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Oeiras, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Oeiras, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Lisboa Oeste, Municipality_Sintra, Bench_Small Criminal",98.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Funchal, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Ponta do Sol, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Porto Santo, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Santa Cruz, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Madeira, Municipality_Santa Cruz, Bench_Local Criminal",39.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Elvas, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Elvas, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Fronteira, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Nisa, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Ponte de Sor, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Portalegre, Bench_Central Civil and Criminal",19.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Portalegre, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Portalegre, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Portalegre, Municipality_Portalegre, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Gondomar, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Gondomar, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Gondomar, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Maia, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Maia, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Maia, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Maia, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Maia, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Matosinhos, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Matosinhos, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Matosinhos, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Matosinhos, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Matosinhos, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Porto, Bench_Small Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Povoa de Varzim, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Povoa de Varzim, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Povoa de Varzim, Bench_Local Criminal",275.0
"Auxiliar Clerck, Court_Porto, Municipality_Santo Tirso, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Santo Tirso, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Santo Tirso, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Santo Tirso, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Valongo, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Valongo, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Valongo, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Valongo, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila Nova de Gaia, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila do Conde, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila do Conde, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila do Conde, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto, Municipality_Vila do Conde, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Amarante, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Amarante, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Amarante, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Baiao, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Felgueiras, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Felgueiras, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Lousada, Bench_Execution",72.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Lousada, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Lousada, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Marco de Canaveses, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Marco de Canaveses, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Marco de Canaveses, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Pacos de Ferreira, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Pacos de Ferreira, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Paredes, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Paredes, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Paredes, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Porto Este, Municipality_Penafiel, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Abrantes, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Abrantes, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Abrantes, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Almeirim, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Benavente, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Benavente, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Cartaxo, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Coruche, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Entroncamento, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Entroncamento, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Ourem, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Ourem, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Rio Maior, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Santarem, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Tomar, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Tomar, Bench_Labor",64.0
"Auxiliar Clerck, Court_Santarem, Municipality_Tomar, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Tomar, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Torres Novas, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Santarem, Municipality_Torres Novas, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Santiago do Cacem, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Sesimbra, Bench_Generic",33.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Criminal Instruction",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Execution",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Family and Minors",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Setubal, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Setubal, Municipality_Sines, Bench_Labor",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Arcos de Valdevez, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Arcos de Valdevez, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Caminha, Bench_Generic",54.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Melgaco, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Moncao, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Paredes de Coura, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Ponte da Barca, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Ponte da Barca, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Ponte de Lima, Bench_Local Civil",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Ponte de Lima, Bench_Local Criminal",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Valenca, Bench_Generic",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Viana do Castelo, Bench_Central Civil",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Viana do Castelo, Bench_Central Criminal",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Viana do Castelo, Bench_Commerce",-0.0
"Auxiliar Clerck, Court_Viana do Castelo, Municipality_Viana do Castelo, Bench_Criminal Instruction",-0.0
